This document is a summary of the European Public Assessment Report ( EPAR ) .	این سند خلاصه از گزارش ارزیابی عمومی اروپا ( EPAR ) است .
It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the study performed , to reach their recommendation on how to use the medicine .	این توضیح داد#ده که چگونه کمیته محصولات دارویی برای استفاده انسانی ( CHMP ) مطالعات انجام‌شده را ارزیابی کرده تا به توصیه خود در مورد نحوه استفاده از دارو رسید#رس .
If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	اگر به اطلاعات بیشتری در مورد وضعیت پزشکی یا درمان خود نیاز داشت#دار ، بروشور بسته بست#بند ( همچنین بخشی از EPAR ) را خواند#خوان یا با پزشک یا داروساز خود تماس گرفت#گیر .
If you want more information on the basis of the CHMP recommendation , read the Scientific Discussion ( also part of the EPAR ) .	اگر بر اساس توصیه CHMP اطلاعات بیشتری خواست#خواه ، بحث علمی ( همچنین بخشی از EPAR ) را خواند#خوان .
What is Alimta ?	آلیمتا چیست ؟
Alimta is a powder that is made-up into a solution for infusion ( drip into a vein ) .	آلیمتا پودر است که به صورت محلول برای انفوزیون ( قطره در رگ ) ساخت#ساز .
It contains the active substance pemetrexed .	حاوی ماده فعال پمترکسد است .
What is Alimta used for ?	آلیمتا برای چه موارد استفاده شد#شو ؟
Alimta is used to treat two type of cancer : pleural mesothelioma ( cancer of the lining of the lung that is usually caused by exposure to asbestos ) .	آلیمتا برای درمان دو نوع سرطان استفاده شد#شو : مزوتلیومای پلور ( سرطان پوشش ریه که معمولا در اثر قرار گرفتن در معرض آزبست ایجاد شد#شو ) .
Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( cannot be removed by surgery alone ) and malignant ( ha spread , or is likely to spread easily , to other part of the body ) , in patient who have not received chemotherapy ( medicine for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cell .	آلیمتا همراه با سیس پلاتین ( یکی دیگر از دارو ضد سرطان ) زمانی که سرطان غیرقابل برداشت ( به تنهایی با جراحی قابل برداشتن نیست ) و بدخیم ( به سایر نقاط بدن گسترش‌یافته یا احتمالا به راحتی منتشر شد#شو ) استفاده شد#شو . شیمی‌درمانی ( دارو سرطان ) را قبل از سرطان ریه سلول غیر کوچک پیشرفته یا متاستاتیک دریافت کرد#کن که بر سلول سنگفرش تأثیر گذارد#گذار .
Alimta is used in combination with cisplatin in patient who have not been treated before , and on it own in patient who have received another type of chemotherapy in the past .	آلیمتا در ترکیب با سیس پلاتین در بیمارانی که قبلا تحت درمان قرار گرفت#گیر و به تنهایی در بیمارانی که در گذشته نوع دیگری از شیمی‌درمانی را دریافت کرد#کن استفاده شد#شو .
The medicine can only be obtained with a prescription .	دارو فقط با نسخه قابل تهیه است .
How is Alimta used ?	آلیمتا چگونه استفاده شد#شو ؟
Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	آلیمتا فقط باید تحت نظر پزشک متخصص در استفاده از شیمی‌درمانی ضد سرطان تجویز شد#شو .
The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient s height and weight ) .	دوز توصیه‌شده آلیمتا ۵۰۰ میلی‌گرم به ازا هر متر مربع از سطح بدن ( محاسبه با قد و وزن بیمار ) است .
