Upon his return , he discovered the betrayal and promptly excommunicated all the priests involved .	À son retour , il découvrit la trahison et a promptement excommunié tous les prêtres impliqués .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-10 10-9 10-11 11-12 12-13 13-14 14-15 15-16
Snatch Bot helps users to build bots for Facebook messenger , Skype , Slack , SMS , Twitter , and other social network platforms .	SnatchBot permet aux utilisateurs de concevoir des agents conversationnels pour Facebook Messenger , Skype , Slack , SMS , Twitter et d' autres plateformes de réseaux sociaux , , .	0-0 1-0 2-1 3-3 4-4 5-5 6-6 6-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 19-20 20-21 20-22 21-26 22-24 22-25 23-23 24-29
Her parents divorced shortly after her birth .	Ses parents divorcent peu après sa naissance .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
From this marriage came two sons , Steven and Werner .	De ce mariage sont nés deux enfants , Steven et Werner .	0-0 1-1 2-2 3-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11
In the 19th century , Krasnoyarsk was the center of the Siberian Cossack movement .	Au XIXe siècle , Krasnoïarsk fut le centre du mouvement cosaque de Sibérie .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-8 11-11 11-12 12-10 13-9 14-13
The new Italian government decided to confiscate many properties of the Church , including the library of the Collegio .	Le nouveau gouvernement italien décida de confisquer beaucoup de biens de l' Église , notamment la bibliothèque du Collège .	0-0 1-1 2-3 3-2 4-4 5-5 6-6 7-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-17 18-18 19-19
Such competition provided greater opportunity for Ukrainian Canadian children to learn to speak the Ukrainian language .	Une telle concurrence permettait une plus grande opportunité aux enfants ukraino-canadiens d' apprendre à parler la langue ukrainienne .	0-1 1-0 1-2 2-3 4-5 4-6 4-4 4-7 5-8 6-10 7-10 8-9 9-11 10-12 11-13 12-14 13-15 14-17 15-16 16-18
Quarantine can also be applied to prevent infection .	La quarantaine peut également être utilisée pour prévenir les infections .	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 7-9 8-10
This exchange mechanism uses lists of pre-translated questions and answers available in all EU languages .	Le mécanisme d’ échange s’ appuie sur des listes de questions - réponses pré-traduites dans toutes les langues de l’ UE .	0-0 1-2 1-3 2-1 3-4 3-5 3-6 4-7 4-8 5-9 6-13 7-10 8-11 9-12 11-14 12-15 13-18 13-19 13-20 14-16 14-17 15-21
The Member States designate national ESF management authorities that are responsible for selecting projects , disbursing funds , and evaluating the progress and results of projects .	Les États membres désignent les organismes nationaux de gestion du FSE qui sont chargées de sélectionner les projets , de redistribuer les fonds et d’ évaluer la progression et les résultats des projets .	0-0 1-2 2-1 3-3 4-6 5-9 5-10 6-7 6-8 7-4 7-5 8-11 9-12 10-13 11-14 12-15 13-16 13-17 14-18 15-20 16-21 16-22 18-23 19-25 20-26 21-27 22-28 23-29 23-30 24-31 25-31 25-32 26-33
Hostilities between Philip and John resumed immediately .	Les hostilités entre Philippe et Jean reprennent immédiatement .	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8
Stress always falls on the last syllable of a word .	L’accent tonique tombe toujours sur l’ dernière syllabe d’ un mot .	0-0 0-1 1-3 2-2 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11
Like the Sumatran rhino , it needs salt in its diet .	Comme le rhinocéros de Sumatra , il a besoin de sel dans son régime alimentaire .	0-0 1-1 2-3 2-4 3-2 4-5 5-5 6-7 6-8 7-10 8-11 9-12 10-13 10-14 11-15
Russia was represented by 11 football teams from 11 Russian cities that will host the FIFA World Cup matches in 2018 .	La Russie était représentée par 11 équipes de football issues des 11 villes russes qui accueilleront les matches de la Coupe du monde de football en 2018 .	0-0 0-1 1-2 2-3 3-4 4-5 5-7 5-8 6-6 7-9 7-10 8-11 9-13 10-12 11-14 12-15 13-15 14-16 15-23 15-24 16-21 16-22 17-18 17-19 17-20 18-17 19-25 20-26 21-27
The republic 's capital was Tbilisi , and its state language was Georgian .	La capitale de la Géorgie démocratique est Tiflis et sa langue est le géorgien .	0-0 1-3 1-4 1-5 2-2 3-1 4-6 5-7 7-8 8-9 10-10 11-11 12-12 12-13 13-14
Later the letter was sent to the heads of the UEFA , FIFA and IOC .	Plus tard , la lettre a été envoyée aux dirigeants de l' UEFA , de la FIFA et du CIO .	0-0 1-1 1-3 2-4 3-5 3-6 4-7 5-8 6-8 7-9 8-10 9-11 10-12 11-13 12-15 12-16 13-17 14-19 15-20
During that period , many scientists and researchers contributed significantly to the development of the theory .	Durant cette période , de nombreux scientifiques et chercheurs ont contribué de manière significative au développement de la théorie .	0-0 1-1 2-2 3-3 4-5 5-4 5-6 6-7 7-8 8-9 8-10 9-11 9-12 9-13 10-14 11-14 12-15 13-16 14-17 15-18 16-19
Information can be used and reused for commercial or non-commercial purposes .	Ces informations peuvent être utilisées et réutilisées à des fins commerciales ou non commerciales .	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-10 8-11 9-12 9-13 10-8 10-9 11-14
A referendum on independence was held from 9 to 15 January 2011 .	Ce référendum sur l' indépendance s' est tenu du 9 au 15 janvier 2011 .	0-0 1-1 2-2 3-3 3-4 4-6 5-5 5-7 6-8 9-8 9-9 8-10 9-10 0-11 10-12 11-13 12-14
On October 17 a ceasefire was signed .	Le 17 octobre , un cessez-le-feu est signé .	1-2 2-0 2-1 3-4 4-5 5-6 6-7 7-8
As the Tower was considered an impregnable fortress in a strategically important position , possession was highly valued .	Comme la tour était considérée comme une forteresse imprenable située sur une importante position stratégique , son contrôle était indispensable .	0-0 1-1 2-2 3-3 4-4 5-6 6-8 7-7 8-9 8-10 9-11 10-14 11-12 12-13 13-15 14-17 15-18 17-19 18-20
An example of such a repository is the directory of registers maintained by competent authorities throughout the European Economic Area .	Un exemple de répertoire est le répertoire des registres maintenus par les autorités compétentes à travers l’ Espace Économique Européen .	0-0 1-1 2-2 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-13 14-12 15-14 15-15 16-16 17-19 18-18 19-17 20-20
This is what the great founder of our state , Vladimir Lenin , taught us .	C’ est ce que le grand fondateur de notre État , Vladimir Lénine , nous a enseigné .	0-0 1-1 2-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13 13-15 13-16 14-14 15-17
The character of Batman made his first appearance in the pages of Detective Comics # 27 in May 1939 .	Le personnage de Batman a fait sa première apparition dans les pages de Detective Comics no 27 en mai 1939 .	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20
In America and in our country there are nuclear weapons — terrible weapons that can kill millions of people in an instant .	En Amérique et dans notre pays il y a des armes nucléaires – de terribles armes pouvant tuer des millions de gens en un instant .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 6-7 7-8 8-11 9-9 9-10 10-12 11-14 12-15 13-16 14-16 15-17 16-18 16-10 17-20 18-21 19-22 20-23 21-24 22-25
